order_id,date_id,price_inr,rating,rating_count,location_id,restaurant_id,category_id,dish_id,date_id,full_date,year,month,month_name,quarter,day,week,location_id,state,city,location,restaurant_id,restaurant_name,category_id,category,dish_id,dish_name
558,30,309.00,4.00,19,5,12,2,494,30,2025-02-16,2025,2,February,1,16,7,5,Karnataka,Bengaluru,"Kengeri Satellite Town",12,"Big Bowl",2,Recommended,494,"Chicken Fried Rice Bowl"
560,158,230.00,5.00,88,6,11,2,496,158,2025-07-05,2025,7,July,3,5,26,6,Karnataka,Bengaluru,"Kanakapura Road",11,"A2B - Adyar Ananda Bhavan",2,Recommended,496,"Dhal Fry"
561,19,309.00,4.00,10,5,12,2,497,19,2025-06-01,2025,6,June,2,1,22,5,Karnataka,Bengaluru,"Kengeri Satellite Town",12,"Big Bowl",2,Recommended,497,"Chicken Chilli Garlic Fried Rice Bowl"
563,32,295.00,5.00,25,6,11,2,499,32,2025-04-06,2025,4,April,2,6,14,6,Karnataka,Bengaluru,"Kanakapura Road",11,"A2B - Adyar Ananda Bhavan",2,Recommended,499,"Kaju Mutter"
564,146,309.00,4.00,19,5,12,2,500,146,2025-05-20,2025,5,May,2,20,20,5,Karnataka,Bengaluru,"Kengeri Satellite Town",12,"Big Bowl",2,Recommended,500,"Chicken Chilli Garlic Noodles Bowl"
565,125,309.00,4.00,51,5,12,2,501,125,2025-06-27,2025,6,June,2,27,25,5,Karnataka,Bengaluru,"Kengeri Satellite Town",12,"Big Bowl",2,Recommended,501,"Veg Manchurian Bowl"
566,30,280.00,4.00,48,6,11,2,502,30,2025-02-16,2025,2,February,1,16,7,6,Karnataka,Bengaluru,"Kanakapura Road",11,"A2B - Adyar Ananda Bhavan",2,Recommended,502,"Alu Gobi Masala"
567,72,225.00,5.00,50,6,11,2,503,72,2025-08-25,2025,8,August,3,25,34,6,Karnataka,Bengaluru,"Kanakapura Road",11,"A2B - Adyar Ananda Bhavan",2,Recommended,503,"Dhal Thadka"
568,64,309.00,4.00,21,5,12,2,504,64,2025-05-04,2025,5,May,2,4,18,5,Karnataka,Bengaluru,"Kengeri Satellite Town",12,"Big Bowl",2,Recommended,504,"Chilli Paneer Bowl"
570,33,319.00,5.00,7,5,12,2,506,33,2025-06-10,2025,6,June,2,10,23,5,Karnataka,Bengaluru,"Kengeri Satellite Town",12,"Big Bowl",2,Recommended,506,"Black Pepper Chicken Bowl"
572,6,319.00,4.00,33,5,12,2,508,6,2025-07-08,2025,7,July,3,8,27,5,Karnataka,Bengaluru,"Kengeri Satellite Town",12,"Big Bowl",2,Recommended,508,"Chilli Chicken Bowl"
574,22,319.00,5.00,12,5,12,2,510,22,2025-06-28,2025,6,June,2,28,25,5,Karnataka,Bengaluru,"Kengeri Satellite Town",12,"Big Bowl",2,Recommended,510,"Chicken Manchurian Bowl"
575,81,290.00,4.00,27,6,11,2,511,81,2025-01-04,2025,1,January,1,4,0,6,Karnataka,Bengaluru,"Kanakapura Road",11,"A2B - Adyar Ananda Bhavan",2,Recommended,511,"Veg Kollapuri"
577,189,310.00,4.00,16,6,11,2,513,189,2025-01-16,2025,1,January,1,16,2,6,Karnataka,Bengaluru,"Kanakapura Road",11,"A2B - Adyar Ananda Bhavan",2,Recommended,513,"A2b Special Curry"
578,87,319.00,4.00,23,5,12,2,514,87,2025-06-20,2025,6,June,2,20,24,5,Karnataka,Bengaluru,"Kengeri Satellite Town",12,"Big Bowl",2,Recommended,514,"Kung Pao Chicken Bowl"
579,96,300.00,5.00,125,6,11,2,515,96,2025-01-24,2025,1,January,1,24,3,6,Karnataka,Bengaluru,"Kanakapura Road",11,"A2B - Adyar Ananda Bhavan",2,Recommended,515,"Palak Paneer"
581,164,319.00,4.00,14,5,12,2,517,164,2025-04-11,2025,4,April,2,11,14,5,Karnataka,Bengaluru,"Kengeri Satellite Town",12,"Big Bowl",2,Recommended,517,"Mutter Mushroom Dhaba Masala Rice Bowl"
