state,city,restaurant_name,location,category,dish_name,price_inr,rating,rating_count,order_date,id
Karnataka,Bengaluru,"Srinidhi Sagar Deluxe",Kengeri,"Ice Cream Soda","Choclate Soda",117.00,4,0,2025-02-16,146
Karnataka,Bengaluru,"Sri Vinayaka Hot Chips",Bidadi,Snacks,"Spicy potato chips",65.00,4,0,2025-08-01,147
Karnataka,Bengaluru,"Sri Vinayaka Hot Chips",Bidadi,Snacks,"Banana chips",65.00,4,0,2025-06-09,148
Karnataka,Bengaluru,"Nisarga Family Daba","Rajarajeshwari Nagar","Non Veg Starter","Chilly Chicken Andra",239.00,4,0,2025-05-28,149
Karnataka,Bengaluru,"Srinidhi Sagar Deluxe",Kengeri,Dosas,"Rava Onion Masala",156.00,5,33,2025-01-28,150
Karnataka,Bengaluru,"Sri Vinayaka Hot Chips",Bidadi,Snacks,"Bitterguard chips [250 gms]",95.00,4,0,2025-08-03,151
Karnataka,Bengaluru,"Nisarga Family Daba","Rajarajeshwari Nagar","Non Veg Starter","Kundapur Chicken",239.00,4,0,2025-04-06,152
Karnataka,Bengaluru,"Srinidhi Sagar Deluxe",Kengeri,Dosas,"Paper Masala",156.00,4,34,2025-02-16,153
Karnataka,Bengaluru,"Srinidhi Sagar Deluxe",Kengeri,Dosas,"Rava Dosa",130.00,5,20,2025-06-19,154
Karnataka,Bengaluru,"Srinidhi Sagar Deluxe",Kengeri,Dosas,"Onion Dosa",130.00,4,68,2025-02-14,155
Karnataka,Bengaluru,"Srinidhi Sagar Deluxe",Kengeri,Dosas,"Paper Plain",143.00,3,16,2025-02-16,156
Karnataka,Bengaluru,"Nisarga Family Daba","Rajarajeshwari Nagar","Non Veg Starter","Chicken Kasturi",239.00,4,0,2025-07-18,157
Karnataka,Bengaluru,"Nisarga Family Daba","Rajarajeshwari Nagar","Non Veg Starter","Chciken 65",239.00,4,0,2025-02-21,158
Karnataka,Bengaluru,"Srinidhi Sagar Deluxe",Kengeri,Dosas,"Butter Masala",130.00,5,54,2025-07-04,159
Karnataka,Bengaluru,"Nisarga Family Daba","Rajarajeshwari Nagar","Non Veg Starter","Arabic Chicken",239.00,4,0,2025-08-21,160
Karnataka,Bengaluru,"Srinidhi Sagar Deluxe",Kengeri,Dosas,"Ghee Plain",124.00,4,4,2025-05-14,161
